id,agent_past_pos,robot_past_pos,predicted_target_pos
153,"[[10.75, 10.75, 10.75, 10.75, 10.75, 10.75, 10.75, 10.75, 10.75, 10.74], [4.76, 4.76, 4.76, 4.76, 4.76, 4.76, 4.76, 4.76, 4.76, 4.76]]","[[11.576312077853453, 11.592824071261656, 11.599566076311838, 11.608820686254274, 11.683659016999972, 11.71027199140526, 11.613429232749713, 11.855138501415748, 11.776536788235207, 12.020211953072275], [4.2805276868745175, 4.171889781753668, 4.096688329975256, 4.023910393516669, 4.051733889977584, 4.1132326082393025, 4.222211482922683, 4.2319998205290155, 4.213878360448868, 4.314496186692559]]","[10.891991394905771, 4.535982829649293]"
154,"[[10.75, 10.75, 10.75, 10.75, 10.75, 10.75, 10.75, 10.75, 10.74, 10.62], [4.76, 4.76, 4.76, 4.76, 4.76, 4.76, 4.76, 4.76, 4.76, 4.77]]","[[11.592824071261656, 11.599566076311838, 11.608820686254274, 11.683659016999972, 11.71027199140526, 11.613429232749713, 11.855138501415748, 11.776536788235207, 12.020211953072275, 11.884825486092295], [4.171889781753668, 4.096688329975256, 4.023910393516669, 4.051733889977584, 4.1132326082393025, 4.222211482922683, 4.2319998205290155, 4.213878360448868, 4.314496186692559, 4.341074583847368]]","[10.024184364227976, 4.707609353382432]"
155,"[[10.75, 10.75, 10.75, 10.75, 10.75, 10.75, 10.75, 10.74, 10.62, 10.45], [4.76, 4.76, 4.76, 4.76, 4.76, 4.76, 4.76, 4.76, 4.77, 4.77]]","[[11.599566076311838, 11.608820686254274, 11.683659016999972, 11.71027199140526, 11.613429232749713, 11.855138501415748, 11.776536788235207, 12.020211953072275, 11.884825486092295, 12.027365518281677], [4.096688329975256, 4.023910393516669, 4.051733889977584, 4.1132326082393025, 4.222211482922683, 4.2319998205290155, 4.213878360448868, 4.314496186692559, 4.341074583847368, 4.450994278276756]]","[10.342826915452697, 4.829976524198845]"
156,"[[10.75, 10.75, 10.75, 10.75, 10.75, 10.75, 10.74, 10.62, 10.45, 10.22], [4.76, 4.76, 4.76, 4.76, 4.76, 4.76, 4.76, 4.77, 4.77, 4.78]]","[[11.608820686254274, 11.683659016999972, 11.71027199140526, 11.613429232749713, 11.855138501415748, 11.776536788235207, 12.020211953072275, 11.884825486092295, 12.027365518281677, 12.135190788978061], [4.023910393516669, 4.051733889977584, 4.1132326082393025, 4.222211482922683, 4.2319998205290155, 4.213878360448868, 4.314496186692559, 4.341074583847368, 4.450994278276756, 4.595125159767336]]","[9.86237436937662, 5.020585081127352]"
157,"[[10.75, 10.75, 10.75, 10.75, 10.75, 10.74, 10.62, 10.45, 10.22, 9.97], [4.76, 4.76, 4.76, 4.76, 4.76, 4.76, 4.77, 4.77, 4.78, 4.78]]","[[11.683659016999972, 11.71027199140526, 11.613429232749713, 11.855138501415748, 11.776536788235207, 12.020211953072275, 11.884825486092295, 12.027365518281677, 12.135190788978061, 12.205107743417178], [4.051733889977584, 4.1132326082393025, 4.222211482922683, 4.2319998205290155, 4.213878360448868, 4.314496186692559, 4.341074583847368, 4.450994278276756, 4.595125159767336, 4.760991429641468]]","[9.045146281396304, 4.751883288576824]"
158,"[[10.75, 10.75, 10.75, 10.75, 10.74, 10.62, 10.45, 10.22, 9.97, 9.71], [4.76, 4.76, 4.76, 4.76, 4.76, 4.77, 4.77, 4.78, 4.78, 4.81]]","[[11.71027199140526, 11.613429232749713, 11.855138501415748, 11.776536788235207, 12.020211953072275, 11.884825486092295, 12.027365518281677, 12.135190788978061, 12.205107743417178, 12.234178047077327], [4.1132326082393025, 4.222211482922683, 4.2319998205290155, 4.213878360448868, 4.314496186692559, 4.341074583847368, 4.450994278276756, 4.595125159767336, 4.760991429641468, 4.938628468135997]]","[8.336820821659236, 4.994807380656406]"
159,"[[10.75, 10.75, 10.75, 10.74, 10.62, 10.45, 10.22, 9.97, 9.71, 9.51], [4.76, 4.76, 4.76, 4.76, 4.77, 4.77, 4.78, 4.78, 4.81, 4.81]]","[[11.613429232749713, 11.855138501415748, 11.776536788235207, 12.020211953072275, 11.884825486092295, 12.027365518281677, 12.135190788978061, 12.205107743417178, 12.234178047077327, 12.226257140109448], [4.222211482922683, 4.2319998205290155, 4.213878360448868, 4.314496186692559, 4.341074583847368, 4.450994278276756, 4.595125159767336, 4.760991429641468, 4.938628468135997, 5.118454103774541]]","[7.651121432254223, 4.584932034320348]"
160,"[[10.75, 10.75, 10.74, 10.62, 10.45, 10.22, 9.97, 9.71, 9.51, 9.3], [4.76, 4.76, 4.76, 4.77, 4.77, 4.78, 4.78, 4.81, 4.81, 4.81]]","[[11.855138501415748, 11.776536788235207, 12.020211953072275, 11.884825486092295, 12.027365518281677, 12.135190788978061, 12.205107743417178, 12.234178047077327, 12.226257140109448, 12.183267323306609], [4.2319998205290155, 4.213878360448868, 4.314496186692559, 4.341074583847368, 4.450994278276756, 4.595125159767336, 4.760991429641468, 4.938628468135997, 5.118454103774541, 5.29324505219939]]","[7.125115124515105, 4.53524831424239]"
161,"[[10.75, 10.74, 10.62, 10.45, 10.22, 9.97, 9.71, 9.51, 9.3, 9.04], [4.76, 4.76, 4.77, 4.77, 4.78, 4.78, 4.81, 4.81, 4.81, 4.82]]","[[11.776536788235207, 12.020211953072275, 11.884825486092295, 12.027365518281677, 12.135190788978061, 12.205107743417178, 12.234178047077327, 12.226257140109448, 12.183267323306609, 12.110105691757424], [4.213878360448868, 4.314496186692559, 4.341074583847368, 4.450994278276756, 4.595125159767336, 4.760991429641468, 4.938628468135997, 5.118454103774541, 5.29324505219939, 5.457705915838924]]","[6.708549199905617, 4.470601976782527]"
162,"[[10.74, 10.62, 10.45, 10.22, 9.97, 9.71, 9.51, 9.3, 9.04, 8.86], [4.76, 4.77, 4.77, 4.78, 4.78, 4.81, 4.81, 4.81, 4.82, 4.82]]","[[12.020211953072275, 11.884825486092295, 12.027365518281677, 12.135190788978061, 12.205107743417178, 12.234178047077327, 12.226257140109448, 12.183267323306609, 12.110105691757424, 12.011683365537836], [4.314496186692559, 4.341074583847368, 4.450994278276756, 4.595125159767336, 4.760991429641468, 4.938628468135997, 5.118454103774541, 5.29324505219939, 5.457705915838924, 5.60841439503477]]","[6.426597019865229, 4.51101825970457]"
